judul,teks
Jaksa Minta Hakim Tolak Eksepsi Pinangki,"Jakarta, CNN Indonesia --Jaksa Penuntut Umum pada Kejaksaan Agung meminta majelis hakim menolak eksepsi atau nota keberatan yang diajukan terdakwa kasus gratifikasi dan pencucian uang, Pinangki Sirna Malasari. Jaksa meyakini seluruh dakwaan telah memenuhi unsur pasal gratifikasi, pencucian uang, dan pemufakatan jahat.""Berdasarkan uraian tersebut di atas, kami memohon kepada majelis hakim tindak pidana korupsi yang berwenang memeriksa dan mengadili perkara untuk memutuskan, menolak seluruh keberatan yang diajukan terdakwa Pinangki Sirna Malasari,"" kata jaksa Roni saat membacakan surat tanggapan atas eksepsi Pinangki di Pengadilan Tipikor Jakarta Pusat, Rabu (21/10).Jaksa menyatakan, surat dakwaan Pinangki telah menjelaskan secara cermat dan lengkap mengenai rincian perbuatan dan keterangan waktu terjadinya tindak pidana.Jaksa meyakini Pinangki telah terbukti menerima uang US$500 ribu dari terpidana Djoko Tjandra untuk membantu pengruusan fatwa Mahkamah Agung (MA) melalui Kejagung.Pinangki, lanjut Jaksa, bahkan sudah menukarkan sejumlah penerimaan uang tersebut dengan tujuan menyembunyikan atau menyamarkan asal usul harta kekayaannya yang berasal dari hasil tindak pidana korupsi.Selain itu, dakwaan juga telah menjelaskan secara lengkap mengenai pemufakatan jahat antara Pinangki dengan rekannya, Andi Irfan Jaya terkait pengurusan fatwa MA tersebut.Pinangki dan Andi disebut menjanjikan uang sebesar US$10 juta kepada pejabat di Kejagung dan MA.""Surat dakwaan JPU baik dakwaan subsider primer telah memuat seluruh unsur pasal. Kemudian surat dakwaan sudah menjelaskan secara lengkap rincian perbuatan dan menyebutkan keterangan waktu yang lengkap tempat terjadinya tindak pidana,"" kata jaksa.Sementara itu, sidang putusan sela akan dilanjutkan pada Rabu siang.""Keputusan akan diambil hari ini. Untuk itu kami akan skors sidang ini dan kami akan buka kembali pada pukul 14.00 WIB,"" ucap hakim.Pinangki sebelumnya didakwa melanggar Pasal 5 ayat 2 Jo Pasal 5 ayat 1 huruf a atau Pasal 11 UU Pemberantasan Tindak Pidana Korupsi.Ia juga didakwa dengan Pasal 3 Undang-undang Nomor 8 Tahun 2010 tentang Pencegahan dan Pemberantasan Tindak Pidana Pencucian Uang. Serta Pasal 15 Jo Pasal 5 ayat 1 huruf a atau Pasal 15 Jo Pasal 13 Undang-undang Pemberantasan Tindak Pidana Korupsi.Sementara dalam eksepsinya, Pinangki membeberkan kronologi pertemuan dengan Djoko Tjandra.Ia mengaku dihubungi seseorang bernama Rahmat ketika berada di Singapura untuk bertemu Djoko Tjandra. Saat itu Djoko Tjandra masih berstatus buronan dalam kasus pengalihan hak tagih (cessie) Bank Bali."
Alasan DPRD DKI Rapat di Puncak: Demi Cegah Covid,"Jakarta, CNN Indonesia --Pelaksana Tugas Sekretaris Dewan DPRD DKI Jakarta Hadameon Aritonang alias Dame mengatakan anggota dewan butuh ruangan yang luas untuk rapat demi mencegah penyebaran Virus Corona (Covid-19).Sebelumnya, Komisi B DPRD DKI Jakarta melakukan rapat di luar kantor, yakni di Hotel Grand Cempaka atau Grand Cempaka Resort & Convention, Bogor.""[Rapatnya di] Grand Cempaka. Alasannya perlu ruang terbuka untuk antisipasi penyebarluasan covid aja,"" kata Dame saat dihubungi, Rabu (21/10).Pada saat rapat di Hotel Grand Cempaka Bogor, semua ruangan akan dibuka. Rapat tidak dimungkinkan dilakukan di Gedung DPRD DKI karena alasan ruangan yang tertutup.""Semua jendela-jendela kita buka. Kalau kantor kan tertutup semua tak ada jendela, kaca semua. Kalau di sini kan bisa,"" ujar dia.Dame menyebut rapat tersebut hanya berjalan satu hari, Rabu (21/10). Adapun pihak yang diundang ialah anggota DPRD DKI, eksekutif, dan Badan Usaha Milik Daerah (BUMD).""Hari ini saja. Mitra kerja bidang komisi B itu ada beberapa BUMD, ada beberapa SKPD yang diundang,"" tutup dia.Dalam surat undangan tertulis rapat di hari Rabu (21/10) pukul 09.00 WIB. Di dalam surat itu juga tertulis bahwa agenda rapat ialah pembahasan dan pendalaman terhadap Rancangan Kebijakan Uum Perubahan APBD (KUPA) serta Prioritas dan Plafon Anggaran Sementara (PPAS) Perubahan APBD DKI Jakarta Tahun Anggaran 2020.Selain para anggota Komisi B DPRD DKI Jakarta, undangan ini diteruskan kepada Kepala Dinas Perhubungan, Dinas Pariwisata dan Ekonomi Kreati, Dinas Perindustrian Perdagangan Koperasi dan Usaha.Kemudian Kepala Dinas Ketahanan Pangan, Kelautan dan Pertanian. Kepala Dinas Tenaga Kerja Transmigrasi dan Energi, Kepala Dinas Penanaman Modal dan PTSP DKI JAkarta serta Kepala Badan Pembinaan BUMD Provinsi DKI Jakarta.Diketahui kasus positif di Jakarta per hari ini sudah menyentuh angka 96.217 kasus atau bertambah 964 kasus sejak kemarin. Dari angka ini masih ada 13.024 yang dirawat dan sebanyak 2.086 dinyatakan meninggal dunia."
KPAI: 171 Pelajar Ditangkap Ikut Demo 20 Oktober di Jakarta,"Jakarta, CNN Indonesia --Komisi Perlindungan Anak Indonesia (KPAI) mencatat 171 pelajar ditangkap oleh Polda Metro Jaya pada demonstrasi tolak UU Cipta Kerja pada Selasa (20/10) di kawasan Istana Negara, Jakarta Pusat.""Sebanyak 171 pelajar diamankan oleh Polda Metro Jaya dan anak-anak sedang mengalami proses pendataan yang akan diupdate hasilnya nanti,"" ungkap Komisioner KPAI Jasra Putra melalui keterangan tertulis, Rabu (21/10).Ia mendorong Polda Metro Jaya mematuhi UU Perlindungan Anak dan UU Sistem Peradilan Pidana Anak dalam proses identifikasi maupun penanganan hukum lanjut bagi mereka yang diduga bersalah.Menurut Jasra, penahanan harus diupayakan sebagai langkah terakhir dalam penanganan hukum anak. Aparat diminta memprioritaskan pemulangan anak kepada orang tuanya.""Orang tua yang merasa kehilangan anaknya dan belum pulang ke rumah, diduga mengikuti aksi demonstrasi hari ini diminta mendatangi Polda Metro Jaya untuk mencari informasi kemungkinan anak diamankan saat aksi di Jakarta,"" lanjutnya.Berdasarkan pantauan KPAI, demonstrasi yang berpusat di Patung Kuda, Jalan Medan Merdeka Barat itu masih melibatkan banyak pelajar yang tergolong di bawah umur. Banyak massa pelajar yang dikatakan tidak mengindahkan protokol kesehatan selama demo.""Masih banyak anak-anak tidak mematuhi protokol kesehatan, seperti memakai masker, menjaga jarak, serta merokok,"" katanya.Jasra khawatir kondisi seperti ini membuat anak rentan terpapar Covid-19, lalu menularkan kepada keluarga di rumah. Apalagi, penyebaran virus di Jakarta masih tergolong tinggi.Sebelumnya elemen buruh dan mahasiswa kembali menggelar demonstrasi guna mendesak Presiden Joko Widodo menerbitkan Perppu untuk membatalkan UU Cipta Kerja. Demo kali ini tergolong lebih terkendali ketimbang aksi sebelumnya pada 8 Oktober lalu.Kementerian Pendidikan dan Kebudayaan sendiri sudah mengimbau Dinas Pendidikan bekerja memastikan pelajar tidak mengikuti demonstrasi."
Jepang Minta Solusi Damai Sengketa Laut China Selatan,"Jakarta, CNN Indonesia --Jepang meminta kepada seluruh pihak yang terlibat dalam sengketa di perairan Laut China Selatan menahan diri dan menyelesaikan masalah itu melalui jalur hukum.Menurut Perdana Menteri Jepang, Yoshihide Suga, Laut China Selatan adalah salah satu jalur utama lalu lintas pelayaran yang menghubungkan Negeri Sakura dan Asia Tenggara.""Namun demikian, di Laut China Selatan terjadi keadaan yang tidak sesuai dengan keinginan tersebut.""Kami meminta hentikan semua tindakan dan gerakan yang merusak ketenangan Laut China Selatan,"" kata Suga dalam jumpa pers di sela-sela lawatan kenegaraan di Jakarta, Rabu (22/10).""Sekali lagi saya ingin menitikberatkan bahwa betapa pentingnya semua pihak yang terkait dengan persoalan Laut China Selatan berusaha menenangkan diri untuk menyelesaikan konflik secara damai melalui hukum internasional, bukan melalui kekuatan dan intimidasi,"" lanjut Suga.Suga mengatakan pemerintah Jepang mengutamakan perdamaian dan kemakmuran kawasan, serta kebebasan dan penegakan supremasi hukum di Laut China Selatan.Laut China Selatan menjadi perairan rawan konflik terutama setelah China mengklaim sepihak sebagian besar wilayah perairan itu. Klaim historis China itu beririsan dengan wilayah kedaulatan sejumlah negara di Asia Tenggara seperti Vietnam, Filipina, Malaysia, Brunei, bahkan hingga Taiwan.Sedangkan Jepang menggunakan jalur pelayaran di Laut China Selatan untuk berniaga dengan negara-negara di kawasan Asia Tenggara hingga Pasifik.Indonesia tidak pernah menempatkan diri sebagai negara yang turut bersengketa dalam perebutan wilayah di Laut China Selatan. Namun, belakangan aktivitas kapal China di dekat perairan Natuna semakin gencar.Di sisi lain, Jepang adalah sekutu Amerika Serikat. Sedangkan AS juga tengah bertikai dengan China dalam sejumlah persoalan, dan belakangan juga turut campur dalam konflik di Laut China Selatan.Kedua negara sama-sama mengirimkan armada kapal perang dan jet tempur di kawasan itu. Hal ini tentu saja semakin memperuncing perselisihan, dan bisa memicu perang terbuka sewaktu-waktu."
AS Sebut Butuh Indonesia untuk Lawan Dominasi China-Rusia,"Jakarta, CNN Indonesia --Menteri Pertahanan Amerika Serikat Mark Esper pada Selasa (20/10) mengungkapkan inisiatif baru untuk memperkuat dan memperluas aliansi dengan negara demokrasi yang berpikiran sama untuk melawan Rusia dan China.Dia turut menggarisbawahi perlunya membangun hubungan yang lebih dekat dengan ""negara demokrasi yang berpikiran sama seperti India dan Indonesia"".Esper mencatat, dia telah bertemu dengan Menhan Indonesia Prabowo Subianto pada Senin lalu dan akan mengunjungi India pada pekan depan.""Mereka semua mengakui apa yang sedang dilakukan China,"" kata Esper.Esper mengatakan Pentagon secara sistematis akan memantau dan mengelola hubungannya dengan negara-negara mitra yang bertujuan untuk menemukan cara guna mengoordinasikan militer dan memajukan penjualan senjata AS.Inisiatif itu disebut Panduan untuk Pembangunan untuk Aliansi dan Kemitraan (GDAP). Inisiatif tersebut muncul hanya dua pekan sebelum pemilihan umum AS yang apabila Presiden Donald Trump kalah, publik akan menyaksikan Esper diganti pada Januari.""Jaringan sekutu dan mitra Amerika memberi kita keuntungan asimetris yang tidak dapat ditandingi oleh musuh kita,"" kata Esper. Dia menyebut jaringan itu sebagai ""tulang punggung tatanan berbasis aturan internasional"".""Contoh seperti ini menggambarkan pentingnya menyelaraskan dengan negara-negara yang berpikiran sama, besar dan kecil, untuk mempertahankan tatanan bebas dan terbuka yang telah melayani kita semua dengan sangat baik selama beberapa dekade,"" kata Esper seperti dilansir dari AFP.""China dan Rusia mungkin memiliki kurang dari sepuluh sekutu yang digabungkan,"" ucapnya.Dia menuturkan China menggunakan paksaan dan perangkap keuangan untuk membangun aliansi dengan negara-negara lemah seperti Myanmar, Kamboja, dan Laos.""Semakin kecil negara dan semakin besar kebutuhannya, semakin berat tekanan dari Beijing,"" kata Esper.Pernyataan tersebut merujuk pada kunjungan yang telah dilakukan Esper untuk membangun hubungan pertahanan dengan Malta, Mongolia, dan Palau.Selain itu, juga terkait rencana AS dalam menghadirkan pertahanan yang lebih besar di Eropa Timur, termasuk pangkalan pasukan AS di Polandia.Esper mengatakan bagian penting dari upaya ini adalah untuk memperluas penjualan senjata AS, untuk membantu sekutu meningkatkan kemampuan pertahanan, dan untuk mendukung industri pertahanan AS dalam melawan persaingan dengan Moskow dan Beijing.""Kita harus bersaing dengan China dan Rusia yang industri milik negaranya dapat mempercepat ekspor militer dengan cara yang kita tidak bisa, dan kita tidak pernah mau, dalam banyak kasus,"" tuturnya.Esper mengaku telah mengambil langkah-langkah untuk meredakan pembatasan ekspor sistem senjata ""kritis"" dan mempercepat persetujuan, dan akan menggunakan GDAP untuk mengidentifikasi peluang penjualan senjata dan melindungi pasar AS.Dia mencontohkan pelonggaran pembatasan AS baru-baru ini pada ekspor drone medan perang, di mana AS dapat menjualnya ke Taiwan dan Uni Emirat Arab."
Presiden Prancis Tutup Masjid terkait Pemenggalan Guru,"Jakarta, CNN Indonesia --Presiden Prancis Emmanuel Macron menyebut kelompok Islam militan terlibat pemenggalan guru yang menunjukkan karikatur Nabi Muhammad.Melansir Associated Press, Macron berkata bahwa kelompok tersebut telah diperintahkan untuk dibubarkan, masjid tempat mereka berkumpul juga akan ditutup.Masjid di pinggiran timur laut Paris, Pantin, ditutup selama enam bulan mulai Rabu (21/10) malam waktu setempat. Sebuah tanda yang dipasang oleh otoritas setempat di pintu masuk menyatakan masjid itu ditutup selama enam bulan.Samuel Paty dibunuh oleh seorang pengungsi Chechnya kelahiran Moskow berusia 18 tahun.Investigasi lebih lanjut terkait perisitiwa itu kini tengah dilakukan, meski polisi sudah menembak mati sang tersangka. Pembunuhnya telah diidentifikasi oleh pihak berwenang sebagai Abdoullakh Anzorov.Pejabat pengadilan pada Rabu (21/10) pagi waktu setempat mengatakan bahwa ada tujuh orang yang ditahan dalam penyelidikan pembunuhan mengerikan itu.Termasuk dua anak di bawah umur. Mereka harus menghadap hakim investigasi untuk dakwaan awal.Ketujuh orang itu di antara 16 orang, termasuk lima remaja, awalnya ditahan untuk diinterogasi. Sembilan orang lain dibebaskan.Penyelidik saat ini tengah mempelajari bagaimana pembunuh, yang tinggal di kota Evreux, Normandia, mengatur pertemuannya dengan Paty.Berbicara usai pertemuan dengan pejabat regional yang bekerja untuk melawan kelompok Islam radikal, Macron mengatakan asosiasi dan individu lain yang diketahui terlibat atas peristiwa pemenggalan akan ikut ditutup.Pemenggalan yang terjadi pekan lalu itu telah memicu kecaman dari ribuan warga Prancis.Mereka berkumpul dalam hujan gerimis untuk menghormati Samuel Paty. Guru pelajaran sejarah dan Geografi, itu dipenggal Jumat pekan lalu dalam perjalanan pulang dari sekolah di Conflans-Sainte-Honorine, Paris.Macron menegaskan bahwa dia menginginkan ""hasil nyata"" untuk memerangi ideologi yang menghancurkan.Pada pertemuan Kabinet hari Rabu, Macron mengatakan satu kelompok yang disebut Kolektif Cheikh Yassine akan diperintahkan dibubarkan.Macron telah meminta tindakan cepat dan konkret dalam kasus ini. Sang Presiden mengobarkan perang terhadap apa yang dia sebut separatisme."
Sri Mulyani: Internet Jadi Hal Mewah Bagi Sebagian Orang,"Jakarta, CNN Indonesia --Menteri Keuangan Sri Mulyani menyebut akses internet masih menjadi hal mewah di sebagian wilayah Indonesia. Hal ini dikarenakan masih terbatasnya infrastruktur pendukung di pelosok negeri.Padahal, akses internet semakin dibutuhkan di tengah pandemi virus corona atau covid-19 yang mengharuskan masyarakat bekerja dan sekolah secara virtual dari rumah.""Akses internet masih menjadi kemewahan bagi sebagian orang atau beberapa wilayah,"" ungkap Ani, sapaan akrabnya, saat menjadi pembicara di Simposium Pembangunan Asia Tenggara (SEADS) 2020, Rabu (21/10).Masalah lain, masyarakat Indonesia masih banyak yang belum memiliki perangkat seluler yang bisa digunakan untuk kerja dan sekolah dari rumah.Bahkan, menurutnya, banyak masyarakat yang belum melek digital sehingga rentan mengalami kerugian dalam pendidikan selama pandemi covid-19.Atas kondisi ini, Ani mengatakan pemerintah sebenarnya sudah berusaha untuk menutup kesenjangan akses internet melalui alokasi pembangunan infrastruktur internet. Misalnya, pembangunan jaringan Palapa Ring hingga Satelit Satria.""Kami juga menyediakan internet gratis untuk para siswa, guru, dan pendidikan tinggi, kami menjadi tulang punggung selama pandemi covid-19. Kami juga memberi dukungan bagi UMKM dalam transisi dan transformasi digital untuk beradaptasi dengan bisnis model baru,"" katanya.Selain itu, pemerintah melalui Kementerian Komunikasi dan Informatika juga sudah meluncurkan program T-Corn untuk menjaring 1.000 perusahaan rintisan (start-up).Hal ini dilakukan karena APBN memiliki keterbatasan untuk pengembangan akses internet dan infrastruktur jaringan.Oleh karena itu, kehadiran start up diharapkan bisa turut mengembangkan ekosistem jaringan dan internet di dalam negeri, khususnya ke wilayah yang belum terjangkau.Harapan lain, penjaringan start up tak hanya memberi dampak bagi bidang tersebut, namun turut melahirkan start up dengan valuasi di atas US$1 miliar alias unicorn dan start up dengan valuasi lebih dari US$10 miliar atau decacorn.[Gambas:Video CNN]""Pemerintah memberi dukungan penuh untuk unicorn dan decacorn melalui program pengembangan sumber daya manusia dan dukungan dari regulasi dan infrastruktur,"" ujarnya.Tak hanya dari pemerintah pusat, bendahara negara juga memastikan bahwa pemerintah daerah ikut memberikan dukungan bagi penyediaan akses internet, khususnya pembangunan infrastruktur di daerah.""Sebagai menteri keuangan, saya juga memastikan belanja pemerintah daerah dialokasikan untuk internet. Ini semua untuk memastikan bahwa masyarakat mendapat akses dan infrastruktur tersedia,"" tuturnya.Menurutnya, dukungan dari pemerintah daerah penting karena saat ini masih ada sekitar 12 ribu desa di Tanah Air yang belum terhubung akses internet yang memadai.""Kami targetkan 1.000 desa dan kecamatan dan daerah Indonesia yang paling luar dan terbelakang bisa terkoneksi pada tahun depan guna mewujudkan peningkatan akses digital dan industri 4.0,"" terangnya.Lebih lanjut, mantan direktur pelaksana Bank Dunia itu memandang keterbatasan akses internet sejatinya bukan hanya tantangan Indonesia, namun juga negara-negara lain di kawasan Asia Tenggara.Oleh karena itu, penting agar ada dukungan, termasuk dari Bank Pembangunan Asia (Asia Development Bank/ADB) agar bisa meningkatkan kerja sama di bidang ini guna meningkat ekonomi negara-negara kawasan.""Kita harus memastikan bahwa negara-negara di seluruh dunia dan semua rakyat bisa mendapatkan kesempatan yang lebih adil dalam memanfaatkan digitalisasi,"" ungkapnya.Kendati begitu, ketika akses internet dan aktivitas digital meningkat, ia menekankan para regulator perlu juga memikirkan soal pungutan pajak dari kegiatan ini. Makanya, perlu kebijakan pajak digital yang adil.""Saat ini, kami bekerja sama di G20 aagr dapat membangun praktek yang baik tentang kebijakan perpajakan global yang adil,"" pungkasnya.Dukungan ADBPresiden ADB Masatsugu Asakawa mengungkapkan lembaganya terus berusaha membantu para negara-negara anggota dalam hal akses internet dan teknologi digital. Sebab, ADB memandang hal ini perlu dan bisa membantu negara-negara untuk memulihkan ekonomi di tengah pandemi covid-19.""Ketika krisis covid-19 memanas, ADB merespons dengan cepat melalui bantuan US$20 miliar untuk mendukung anggota,"" kata Asakawa pada kesempatan yang sama.Kendati begitu, ia menilai pemerintah di masing-masing negara tetap perlu meningkatkan rencana pembangunan berkelanjutan terkait akses kepada masyarakat. Khususnya, untuk mengurangi kesenjangan akses di masing-masing wilayah.""Kita harus menutup kesenjangan digital dan memperluas investasi yang ada dalam infrastruktur dengan membangun infrastruktur broadband seluler yang lebih banyak dan berkualitas serta memastikan akses internet terjangkau ke layanan sosial, kesehatan, pendidikan, dan keuangan,"" tandasnya."
23 Juta Pekerjaan Akan Tergantikan oleh Robot,"Jakarta, CNN Indonesia --McKinsey Indonesia mengatakan sebanyak 23 juta pekerjaan akan tergantikan dengan otomatisasi. Kondisi ini menjadi tantangan bagi Indonesia ke depannya.Otomatisasi adalah penggantian tenaga manusia dengan tenaga mesin yang secara otomatis melakukan pekerjaan tanpa pengawasan manusia.""Betul kalau melihat potensi dari otomasi, pekerjaan yang tergantikan ada tantangan besar bagi Indonesia. 23 juta pekerjaan kurang lebih akan akan tergantikan,"" tutur Managing Partner McKinsey Indonesia Philia Wibowo dalam diskusi Reformasi dan Menata Ulang Indonesia Pasca Covid-19, Rabu (21/10).Namun, di sisi lain akan muncul 27 juta hingga 36 juta lapangan pekerjaan baru. Lapangan pekerjaan baru itu bukan timbul dari otomasi, namun dipicu kondisi di Indonesia.Misalnya, Indonesia memiliki bonus demografi, sehingga penduduk usia produktif lebih banyak dibandingkan usia tua. Penduduk usia produktif tersebut dinilai bisa mendorong konsumsi.""Ada 10 juta pekerjaan baru tercipta, pekerjaan yang tadinya tidak ada, jadi ada. Misalnya, zaman dulu tidak ada ada digital marketing, karena digital ada juga pekerjaan yang tercipta,"" tuturnya.Oleh sebab itu, ia menuturkan tenaga kerja Indonesia hendaknya mengantongi keterampilan baru agar bisa meraih peluang pekerjaan tersebut. Ia menyebut 4 teratas keterampilan yang dibutuhkan.Meliputi memiliki keahlian dalam bidang tertentu, interaksi dengan pemangku kepentingan, manajemen dan mengembangkan SDM, serta pekerjaan fisik yang tidak terduga seperti pemadam kebakaran.""Mungkin dulu kalau general sudah cukup tapi ke depan semakin orang punya expertise (keahlian) apakah dalam suatu fungsi atau sektor itu akan makin dibutuhkan. Jadi, tuntutan lulusan kita atau orang yang sudah kerja adalah bagaimana untuk memiliki spesialisasi karena itu penting,"" tandasnya.[Gambas:Video CNN]"
"Lusa, Jasa Marga Alihkan Arus di Pintu Keluar Tol Cibitung","Jakarta, CNN Indonesia --PT Jasa Marga (Persero) Tbk berencana mengalihkan arus lalu lintas pada akses menuju pintu keluar Tol Simpang Susun (SS) Cibitung, Kabupaten Bekasi, Jawa Barat. Pengalihan diterapkan untuk arus kendaraan dari arah Cikampek menuju Kawasan Industri MM2100 di Kecamatan Cibitung.""Pengalihan lalu lintas pada Off Ramp SS Cibitung akan berlaku mulai Jumat (23/10) pukul 06.00 WIB,"" kata Humas Jasa Marga Cabang Jakarta-Cikampek Hendra Damanik seperti dikutip dari Antara, Rabu (21/10).Ia menambahkan pengalihan dilakukan dalam rangka mendukung kelancaran proses pembangunan Jalan Tol Cibitung-Cilincing dan Proyek Kereta Cepat Jakarta-Bandung.""Memperhatikan adanya area kerja yang bersinggungan di antara kedua proyek tersebut, maka perlu dilakukan pengalihan lalu lintas pada lokasi yang terdampak,"" katanya.Hendra mengatakan Jasa Marga bersama pihak terkait lainnya sudah berkoordinasi supaya pengalihan arus alu lintas tak mengganggu kegiatan dan keselamatan pengguna jalan .Pihaknya juga sudah mempersiapkan marka detour atau jalan memutar pengaman MCB sepanjang jalur tersebut serta pemasangan garis kejut. Selain itu, pihaknya juga melakukan perbaikan pengerasan pada sambungan jalan memutar, saluran irigasi pada jalan putar, serta perambuan pada jalur tersebut.Pihaknya juga telah melakukan sosialisasi pekerjaan agar informasi ini diterima dengan baik oleh pengguna jalan melalui pemasangan Variable Message Sign di Ruas Jalan Tol Jakarta-Cikampek arah Cikampek dan arah Jakarta.[Gambas:Video CNN]"
"Pakar: Waspada Gempa 8,5 M dari Siberut di 7 Wilayah Sumbar","Jakarta, CNN Indonesia --Pakar gempa Universitas Andalas (Unand) Padang Badrul Mustafa mengingatkan warga Sumatera Barat agar waspada terhadap potensi gempa bumi dengan kekuatan 8,6 magnitudo yang bersumber dari segmen Siberut.""Segmen Siberut masih menyimpan dua pertiga energinya, kalau keluar sekaligus bisa menimbulkan gempa berkekuatan di atas 8,5,"" kata dia mengutip Antara, Selasa (20/10).Pernyataan ini disampaikan Badrul menanggapi gempa bumi 5,6 M di Mentawai kemarin Senin (19/10). Ia mengingatkan masyarakat Sumbar khususnya yang berada di tujuh kota dan kabupaten di pesisir yang berpotensi terdampak gempa dan tsunami selalu waspada.""Kita memang hidup di daerah rawan gempa, makanya harus bersahabat dengannya, kita harus cerdas bencana,"" kata dia.Menurut dia periode ulang gempa segmen Siberut setelah tahun 1797 belum keluar kecuali baru sepertiganya.""Gempa yang terjadi di segmen Sipora-Pagai ini bisa mendorong keluarnya potensi gempa Siberut, bisa pula tidak,"" ujarnya.Berdasarkan data dihimpun dari BMKG sejak 10 Oktober sampai 19 Oktober 2020 terjadi 10 kali gempa terjadi di area episentrum megathrust Mentawai dengan kekuatan di bawah 6,0 dan yang paling tinggi magnitudo 5,8.Ia menjelaskan episentrum gempa berada pada megathrust Mentawai segmen Sipora-Pagai dan pada 25 Oktober 2010 pada area ini juga terjadi gempa berkekuatan 7,4 yang menimbulkan tsunami.""Kalau dihitung, sejak dua tahun terakhir sudah puluhan kali gempa terjadi di area ini dan dari penelitian yang dilakukan oleh Prof Kerry Sieh dari Caltech dan Danny Hilman dari LIPI diketahui bahwa periode ulang gempa sangat kuat magnitudo 8,0 adalah 200 tahun,"" ujarnya.Pada sisi lain ia memaparkan megathrust Mentawai memiliki dua segmen, yakni segmen Siberut dan segmen Sipora-Pagai.Gempa sangat kuat terjadi di Segmen Sipora-Pagai pada tahun 1833 dengan kekuatan hampir 9,0. Lalu, periode ulang 200 tahun gempa besar di segmen ini sudah terjadi pada 12 September 2007 dengan kekuatan 8,4, 13 September 2007 dua kali dengan kekuatan 7,9 dan 7,4 serta terakhir 25 Oktober 2010 7,4.""Di segmen ini secara saintifik gempa besar akan terulang lagi 200 tahun berikutnya. Jadi, menurut saya, untuk segmen Sipora-Pagai ini dapat dikatakan aman,"" katanya.Terkait kenapa masih terjadinya beberapa kali gempa dengan kekuatan sampai di atas 5,0 di segmen ini ia menjelaskan dapat saja terjadi karena dorongan lempeng Indo-Australia dengan laju 6-7 centimeter per tahun yang sebagian energinya langsung keluar.""Artinya untuk beberapa tahun ini sedikit yang terakumulasi untuk periode ulang berikutnya. Tapi saya yakin, di segmen ini gempa besar belum akan terjadi dalam kurun waktu kurang dari 100 tahun,"" ujar dia."
